negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'Q2KHM9', 'Q68CZ1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O43186', 'Q96K80'})"
"frozenset({'Q8TB24', 'AndrogenReceptor', 'Q9NQZ8'})"
"frozenset({'P03372', 'AndrogenReceptor', 'Q6P2Q9'})"
"frozenset({'Q8WXH5', 'P38484', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P49411', 'O00141'})"
"frozenset({'Q07666', 'Q9UKA9', 'AndrogenReceptor'})"
"frozenset({'P24941', 'Q969V6', 'AndrogenReceptor'})"
"frozenset({'Q8N7H5', 'AndrogenReceptor', 'Q6P1J9'})"
"frozenset({'P05141', 'AndrogenReceptor', 'P62847'})"
"frozenset({'Q13439', 'Q9NV70', 'AndrogenReceptor'})"
"frozenset({'P46777', 'AndrogenReceptor', 'P62857'})"
"frozenset({'P22612', 'P54840', 'AndrogenReceptor'})"
"frozenset({'P34931', 'Q14258', 'AndrogenReceptor'})"
"frozenset({'Q9NPE3', 'AndrogenReceptor', 'O60506'})"
"frozenset({'Q15628', 'O75604', 'AndrogenReceptor'})"
"frozenset({'Q8TDB6', 'AndrogenReceptor', 'Q6ZNA4'})"
"frozenset({'Q9BYM8', 'AndrogenReceptor', 'P48200'})"
"frozenset({'Q12873', 'Q13422', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P23458', 'O60674'})"
"frozenset({'AndrogenReceptor', 'O00203', 'O14617'})"
"frozenset({'AndrogenReceptor', 'P24941', 'P10599'})"
"frozenset({'P38398', 'Q16665', 'AndrogenReceptor'})"
"frozenset({'O75352', 'Q15014', 'AndrogenReceptor'})"
"frozenset({'Q9Y2B5', 'Q8WWB3', 'AndrogenReceptor'})"
"frozenset({'Q13620', 'Q92466', 'AndrogenReceptor'})"
"frozenset({'Q9UBE8', 'P46060', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O60216', 'P62979'})"
"frozenset({'O75496', 'Q14186', 'AndrogenReceptor'})"
"frozenset({'P04083', 'AndrogenReceptor', 'Q9Y3E0'})"
"frozenset({'AndrogenReceptor', 'O00212', 'Q9HCM2'})"
"frozenset({'Q9UBD3', 'AndrogenReceptor', 'P25024'})"
"frozenset({'AndrogenReceptor', 'P29508', 'O75901'})"
"frozenset({'Q86YM7', 'AndrogenReceptor', 'Q0VDD7'})"
"frozenset({'Q03164', 'AndrogenReceptor', 'Q16254'})"
"frozenset({'P26639', 'P04792', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9BQN1', 'P02647'})"
"frozenset({'P19174', 'Q07666', 'AndrogenReceptor'})"
"frozenset({'Q92997', 'AndrogenReceptor', 'Q8NEV1'})"
"frozenset({'P49207', 'P61247', 'AndrogenReceptor'})"
"frozenset({'Q9H992', 'AndrogenReceptor', 'Q04323'})"
"frozenset({'P09661', 'P41223', 'AndrogenReceptor'})"
"frozenset({'O75478', 'P61964', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00213', 'P46531'})"
"frozenset({'P62805', 'Q9NR22', 'AndrogenReceptor'})"
"frozenset({'Q9NQT8', 'P56524', 'AndrogenReceptor'})"
"frozenset({'P05067', 'Q86UC2', 'AndrogenReceptor'})"
"frozenset({'Q06265', 'AndrogenReceptor', 'P28066'})"
"frozenset({'P27986', 'P14770', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q08AN1', 'P78362'})"
"frozenset({'Q96Q83', 'P21333', 'AndrogenReceptor'})"
"frozenset({'Q9HBL0', 'Q96QB1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P13637', 'P61457'})"
"frozenset({'Q9UPN4', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'Q8IUC1', 'P27918', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61964', 'Q5S007'})"
"frozenset({'P56703', 'Q9H461', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99598', 'P14373'})"
"frozenset({'P04183', 'Q8IV08', 'AndrogenReceptor'})"
"frozenset({'P62877', 'AndrogenReceptor', 'Q8NI29'})"
"frozenset({'AndrogenReceptor', 'O75360', 'Q96M29'})"
"frozenset({'AndrogenReceptor', 'Q99608', 'Q13137'})"
"frozenset({'Q86WQ0', 'AndrogenReceptor', 'Q8N1B4'})"
"frozenset({'P15336', 'AndrogenReceptor', 'Q8TDY2'})"
"frozenset({'P22612', 'AndrogenReceptor', 'Q16816'})"
"frozenset({'Q9Y3A5', 'AndrogenReceptor', 'Q96EL3'})"
"frozenset({'Q08379', 'AndrogenReceptor', 'Q99958'})"
"frozenset({'Q6VMQ6', 'AndrogenReceptor', 'Q9H1H9'})"
"frozenset({'AndrogenReceptor', 'P82933', 'Q9NZQ3'})"
"frozenset({'Q96DB2', 'P25686', 'AndrogenReceptor'})"
"frozenset({'Q8NEC5', 'AndrogenReceptor', 'P60411'})"
"frozenset({'P24864', 'AndrogenReceptor', 'P51610'})"
"frozenset({'AndrogenReceptor', 'Q9UMZ2', 'P63172'})"
"frozenset({'Q96FW1', 'AndrogenReceptor', 'P06493'})"
"frozenset({'P55212', 'Q13526', 'AndrogenReceptor'})"
"frozenset({'P19320', 'AndrogenReceptor', 'P42677'})"
"frozenset({'Q86V24', 'AndrogenReceptor', 'Q9P0P0'})"
"frozenset({'AndrogenReceptor', 'Q9Y5Y0', 'O14763'})"
"frozenset({'Q9H2H9', 'AndrogenReceptor', 'Q9H853'})"
"frozenset({'Q86TI0', 'O95678', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9P2K6', 'Q9Y2D8'})"
"frozenset({'AndrogenReceptor', 'P62424', 'Q92900'})"
"frozenset({'AndrogenReceptor', 'O15162', 'Q9UHH9'})"
"frozenset({'P09661', 'AndrogenReceptor', 'Q7L014'})"
"frozenset({'P51965', 'AndrogenReceptor', 'Q05086'})"
"frozenset({'Q9UKN8', 'AndrogenReceptor', 'O14965'})"
"frozenset({'Q96QF0', 'AndrogenReceptor', 'Q14680'})"
"frozenset({'AndrogenReceptor', 'O75832', 'P62993'})"
"frozenset({'P27694', 'AndrogenReceptor', 'P42166'})"
"frozenset({'Q9BYN8', 'Q99496', 'AndrogenReceptor'})"
"frozenset({'Q92905', 'Q7Z2Y5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P52209', 'P54274'})"
"frozenset({'Q9UKD2', 'Q9BYG3', 'AndrogenReceptor'})"
"frozenset({'O43291', 'AndrogenReceptor', 'Q9Y2H6'})"
"frozenset({'Q02297', 'P53667', 'AndrogenReceptor'})"
"frozenset({'Q9Y2D4', 'AndrogenReceptor', 'O60939'})"
"frozenset({'O60683', 'Q99675', 'AndrogenReceptor'})"
"frozenset({'Q9H6T3', 'AndrogenReceptor', 'Q9NWS0'})"
"frozenset({'Q9NRR5', 'AndrogenReceptor', 'P24592'})"
"frozenset({'AndrogenReceptor', 'P55081', 'P36508'})"
"frozenset({'AndrogenReceptor', 'Q9BYQ0', 'P49639'})"
"frozenset({'Q969H4', 'AndrogenReceptor', 'Q8IUH5'})"
"frozenset({'P02751', 'O75582', 'AndrogenReceptor'})"
"frozenset({'P52701', 'Q9Y4L1', 'AndrogenReceptor'})"
"frozenset({'O15105', 'Q92905', 'AndrogenReceptor'})"
"frozenset({'Q8IZC7', 'AndrogenReceptor', 'O15400'})"
"frozenset({'P01106', 'P21675', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O43711', 'Q04724'})"
"frozenset({'Q9Y5U2', 'Q9H5Z1', 'AndrogenReceptor'})"
"frozenset({'Q9NR46', 'Q5JVL4', 'AndrogenReceptor'})"
"frozenset({'Q9UK53', 'O14497', 'AndrogenReceptor'})"
"frozenset({'P10415', 'AndrogenReceptor', 'Q08752'})"
"frozenset({'Q6NUN9', 'Q9NZI8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8IX90', 'Q96GD4'})"
"frozenset({'P26368', 'AndrogenReceptor', 'P19544'})"
"frozenset({'Q9NTZ6', 'AndrogenReceptor', 'Q9NX18'})"
"frozenset({'P42224', 'AndrogenReceptor', 'P16435'})"
"frozenset({'Q00839', 'AndrogenReceptor', 'P25398'})"
"frozenset({'Q6W2J9', 'AndrogenReceptor', 'P14373'})"
"frozenset({'P49736', 'AndrogenReceptor', 'P31947'})"
"frozenset({'P19320', 'AndrogenReceptor', 'P50914'})"
"frozenset({'AndrogenReceptor', 'P24928', 'Q9H204'})"
"frozenset({'Q8NHQ1', 'AndrogenReceptor', 'Q15561'})"
"frozenset({'P01106', 'AndrogenReceptor', 'O00255'})"
"frozenset({'Q9P2R3', 'AndrogenReceptor', 'Q9HBH0'})"
"frozenset({'AndrogenReceptor', 'O75460', 'Q13438'})"
"frozenset({'P02768', 'AndrogenReceptor', 'Q6DJT9'})"
"frozenset({'P02649', 'P58549', 'AndrogenReceptor'})"
"frozenset({'Q12931', 'Q13618', 'AndrogenReceptor'})"
"frozenset({'Q6A162', 'AndrogenReceptor', 'P23769'})"
"frozenset({'Q5VZ89', 'P56524', 'AndrogenReceptor'})"
"frozenset({'Q9BVG3', 'AndrogenReceptor', 'Q96JC9'})"
"frozenset({'P05386', 'P46777', 'AndrogenReceptor'})"
"frozenset({'Q00987', 'Q6PCD5', 'AndrogenReceptor'})"
"frozenset({'O14920', 'AndrogenReceptor', 'Q9Y243'})"
"frozenset({'Q6XD76', 'AndrogenReceptor', 'Q13643'})"
"frozenset({'Q02539', 'AndrogenReceptor', 'P14635'})"
"frozenset({'Q8IYS1', 'AndrogenReceptor', 'Q8NFW5'})"
"frozenset({'P52565', 'P19438', 'AndrogenReceptor'})"
"frozenset({'Q6NYC8', 'AndrogenReceptor', 'Q86X02'})"
"frozenset({'AndrogenReceptor', 'P61952', 'P47898'})"
"frozenset({'AndrogenReceptor', 'O75031', 'Q9HAU5'})"
"frozenset({'P06213', 'AndrogenReceptor', 'Q6S5L8'})"
"frozenset({'Q00839', 'AndrogenReceptor', 'Q7Z478'})"
"frozenset({'AndrogenReceptor', 'P24821', 'Q13797'})"
"frozenset({'P08238', 'O75147', 'AndrogenReceptor'})"
"frozenset({'P78317', 'AndrogenReceptor', 'O43290'})"
"frozenset({'AndrogenReceptor', 'Q9Y4K3', 'Q9C0C9'})"
"frozenset({'P31946', 'AndrogenReceptor', 'Q9BST9'})"
"frozenset({'Q9NV39', 'P86480', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8NGP8', 'Q9P2W3'})"
"frozenset({'AndrogenReceptor', 'P25054', 'P68400'})"
"frozenset({'AndrogenReceptor', 'Q96AE4', 'Q15366'})"
"frozenset({'P19174', 'AndrogenReceptor', 'Q14108'})"
"frozenset({'Q96AZ1', 'AndrogenReceptor', 'Q99832'})"
"frozenset({'P43115', 'AndrogenReceptor', 'P50222'})"
"frozenset({'P32121', 'AndrogenReceptor', 'O75251'})"
"frozenset({'Q96L91', 'AndrogenReceptor', 'P35222'})"
"frozenset({'Q9UPE1', 'O95793', 'AndrogenReceptor'})"
"frozenset({'Q53ET0', 'AndrogenReceptor', 'Q92793'})"
"frozenset({'O43298', 'Q7L590', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8N443', 'Q96GS4'})"
"frozenset({'Q15717', 'Q9H4A5', 'AndrogenReceptor'})"
"frozenset({'P15153', 'Q9P2F6', 'AndrogenReceptor'})"
"frozenset({'P01127', 'P35916', 'AndrogenReceptor'})"
"frozenset({'Q16629', 'AndrogenReceptor', 'Q13148'})"
"frozenset({'Q9H4L7', 'Q9UJX3', 'AndrogenReceptor'})"
"frozenset({'P27986', 'Q92988', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96SB4', 'Q15651'})"
"frozenset({'Q9NR50', 'P61421', 'AndrogenReceptor'})"
"frozenset({'P01100', 'AndrogenReceptor', 'P56279'})"
"frozenset({'AndrogenReceptor', 'Q9HAD4', 'Q8TDY2'})"
"frozenset({'AndrogenReceptor', 'P40855', 'O43808'})"
"frozenset({'Q05397', 'AndrogenReceptor', 'P60484'})"
"frozenset({'P22888', 'AndrogenReceptor', 'O95467'})"
"frozenset({'Q53TS8', 'AndrogenReceptor', 'Q5JR59'})"
"frozenset({'Q5GLZ8', 'Q9NZ63', 'AndrogenReceptor'})"
"frozenset({'Q8IWS0', 'AndrogenReceptor', 'Q9NX58'})"
"frozenset({'Q9HAH7', 'AndrogenReceptor', 'Q06587'})"
"frozenset({'AndrogenReceptor', 'Q96KQ7', 'P38936'})"
"frozenset({'Q9Y5M8', 'AndrogenReceptor', 'Q86UK5'})"
"frozenset({'P21580', 'AndrogenReceptor', 'P13489'})"
"frozenset({'P68871', 'AndrogenReceptor', 'P11940'})"
"frozenset({'Q6L8G9', 'AndrogenReceptor', 'Q3SY46'})"
"frozenset({'Q86YP4', 'AndrogenReceptor', 'Q9BQ15'})"
"frozenset({'P40424', 'AndrogenReceptor', 'Q96GN5'})"
"frozenset({'O95758', 'O14757', 'AndrogenReceptor'})"
"frozenset({'O14764', 'Q9H0R8', 'AndrogenReceptor'})"
"frozenset({'P11388', 'AndrogenReceptor', 'P0DJD1'})"
"frozenset({'Q58EX7', 'AndrogenReceptor', 'Q6ZSJ9'})"
"frozenset({'P62314', 'AndrogenReceptor', 'P15374'})"
"frozenset({'Q9UPZ9', 'P20963', 'AndrogenReceptor'})"
"frozenset({'Q9BQ65', 'Q99459', 'AndrogenReceptor'})"
"frozenset({'A2RUU4', 'Q7Z7L7', 'AndrogenReceptor'})"
"frozenset({'O75147', 'P38919', 'AndrogenReceptor'})"
"frozenset({'P62266', 'O75530', 'AndrogenReceptor'})"
"frozenset({'Q96NZ8', 'AndrogenReceptor', 'O95390'})"
"frozenset({'Q8IYB8', 'Q9HA38', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P43115', 'P29992'})"
"frozenset({'AndrogenReceptor', 'P41743', 'O15014'})"
"frozenset({'Q06546', 'AndrogenReceptor', 'Q14192'})"
"frozenset({'P46108', 'P16402', 'AndrogenReceptor'})"
"frozenset({'P38398', 'Q96SB3', 'AndrogenReceptor'})"
"frozenset({'Q08209', 'P10415', 'AndrogenReceptor'})"
"frozenset({'P55316', 'AndrogenReceptor', 'Q8WXI9'})"
"frozenset({'Q96CV9', 'A0AUZ9', 'AndrogenReceptor'})"
"frozenset({'Q9NRM7', 'AndrogenReceptor', 'P02545'})"
"frozenset({'AndrogenReceptor', 'Q9NYF3', 'Q9UK80'})"
"frozenset({'Q15717', 'AndrogenReceptor', 'Q9H4G4'})"
"frozenset({'Q96BN2', 'Q16531', 'AndrogenReceptor'})"
"frozenset({'Q6ZW49', 'AndrogenReceptor', 'Q9BV38'})"
"frozenset({'Q99578', 'AndrogenReceptor', 'Q9NZL6'})"
"frozenset({'P42331', 'Q9BV44', 'AndrogenReceptor'})"
"frozenset({'P61328', 'AndrogenReceptor', 'P32321'})"
"frozenset({'AndrogenReceptor', 'Q96T23', 'Q9NRC8'})"
"frozenset({'Q05655', 'Q16206', 'AndrogenReceptor'})"
"frozenset({'P49736', 'AndrogenReceptor', 'Q8NE71'})"
"frozenset({'P22695', 'P20339', 'AndrogenReceptor'})"
"frozenset({'Q07866', 'AndrogenReceptor', 'Q5MIZ7'})"
"frozenset({'P03372', 'AndrogenReceptor', 'P16455'})"
"frozenset({'P52732', 'Q9UJY1', 'AndrogenReceptor'})"
"frozenset({'Q92896', 'AndrogenReceptor', 'Q01968'})"
"frozenset({'O15117', 'AndrogenReceptor', 'Q14008'})"
"frozenset({'P17980', 'P49721', 'AndrogenReceptor'})"
"frozenset({'P15927', 'Q92841', 'AndrogenReceptor'})"
"frozenset({'O75420', 'AndrogenReceptor', 'P54259'})"
"frozenset({'Q15717', 'AndrogenReceptor', 'Q9Y297'})"
"frozenset({'P62829', 'AndrogenReceptor', 'Q5TC82'})"
"frozenset({'AndrogenReceptor', 'Q4G163', 'P63208'})"
"frozenset({'Q96QK1', 'AndrogenReceptor', 'Q9Y6Y0'})"
"frozenset({'P55209', 'Q9BTT4', 'AndrogenReceptor'})"
"frozenset({'P06213', 'P05019', 'AndrogenReceptor'})"
"frozenset({'Q14683', 'O95347', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UJX2', 'Q96CV9'})"
"frozenset({'Q13158', 'P55210', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13148', 'O00411'})"
"frozenset({'AndrogenReceptor', 'P35269', 'P61218'})"
"frozenset({'AndrogenReceptor', 'Q8TDG4', 'Q08211'})"
"frozenset({'P39880', 'AndrogenReceptor', 'Q9BQ52'})"
"frozenset({'O95758', 'AndrogenReceptor', 'P29966'})"
"frozenset({'Q13351', 'P51532', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P62258', 'Q12905'})"
"frozenset({'P61619', 'AndrogenReceptor', 'Q8TF05'})"
"frozenset({'P62875', 'P0DPB6', 'AndrogenReceptor'})"
"frozenset({'O95487', 'Q99816', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P25490', 'O00233'})"
"frozenset({'Q10713', 'Q8NI60', 'AndrogenReceptor'})"
"frozenset({'Q66GS9', 'AndrogenReceptor', 'Q9BRK4'})"
"frozenset({'O95793', 'Q9BZI7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99962', 'P63261'})"
"frozenset({'AndrogenReceptor', 'Q14457', 'Q8N5C8'})"
"frozenset({'Q9Y697', 'AndrogenReceptor', 'Q9H2G2'})"
"frozenset({'AndrogenReceptor', 'Q9NRC8', 'Q15058'})"
"frozenset({'Q9NV31', 'AndrogenReceptor', 'P04062'})"
"frozenset({'P22090', 'AndrogenReceptor', 'P50222'})"
"frozenset({'P07864', 'AndrogenReceptor', 'P62820'})"
"frozenset({'Q9H4B6', 'Q15154', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H0K6', 'Q8WV44'})"
"frozenset({'Q15645', 'P20333', 'AndrogenReceptor'})"
"frozenset({'Q8TF42', 'P62837', 'AndrogenReceptor'})"
"frozenset({'P36405', 'AndrogenReceptor', 'Q13439'})"
"frozenset({'AndrogenReceptor', 'P31947', 'Q96IF1'})"
"frozenset({'AndrogenReceptor', 'Q9BVA0', 'Q13748'})"
"frozenset({'AndrogenReceptor', 'Q969H0', 'O60244'})"
"frozenset({'Q9Y5Y6', 'AndrogenReceptor', 'O43278'})"
"frozenset({'AndrogenReceptor', 'P60709', 'P29353'})"
"frozenset({'P03372', 'AndrogenReceptor', 'Q9BVJ6'})"
"frozenset({'O14980', 'AndrogenReceptor', 'Q86UD0'})"
"frozenset({'Q14318', 'Q9NXR7', 'AndrogenReceptor'})"
"frozenset({'Q9Y2K1', 'AndrogenReceptor', 'P68363'})"
"frozenset({'Q99853', 'O00148', 'AndrogenReceptor'})"
"frozenset({'Q9H0E3', 'Q12962', 'AndrogenReceptor'})"
"frozenset({'P02751', 'P08865', 'AndrogenReceptor'})"
"frozenset({'Q15834', 'AndrogenReceptor', 'O43663'})"
"frozenset({'AndrogenReceptor', 'Q9BXL8', 'P63151'})"
"frozenset({'Q9NTK5', 'AndrogenReceptor', 'P08243'})"
"frozenset({'Q7Z713', 'AndrogenReceptor', 'P50750'})"
"frozenset({'P19320', 'AndrogenReceptor', 'P16401'})"
"frozenset({'AndrogenReceptor', 'O15031', 'Q99622'})"
"frozenset({'AndrogenReceptor', 'P61313', 'Q96L21'})"
"frozenset({'AndrogenReceptor', 'O94979', 'P21283'})"
"frozenset({'P51784', 'AndrogenReceptor', 'Q9UHQ7'})"
"frozenset({'Q9BYG3', 'Q9Y4C8', 'AndrogenReceptor'})"
"frozenset({'P49736', 'P62937', 'AndrogenReceptor'})"
"frozenset({'Q9H4L5', 'P31946', 'AndrogenReceptor'})"
"frozenset({'Q96HC4', 'AndrogenReceptor', 'Q96JN2'})"
"frozenset({'AndrogenReceptor', 'Q9NWN3', 'Q9BYR2'})"
"frozenset({'AndrogenReceptor', 'Q9NQX4', 'Q92614'})"
"frozenset({'Q9NVP2', 'P21675', 'AndrogenReceptor'})"
"frozenset({'Q16891', 'AndrogenReceptor', 'Q9Y277'})"
"frozenset({'Q5VYK3', 'AndrogenReceptor', 'Q9Y2K7'})"
"frozenset({'AndrogenReceptor', 'P32189', 'P02746'})"
"frozenset({'P07195', 'P11441', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8NHL6', 'P01308'})"
"frozenset({'P01185', 'AndrogenReceptor', 'P43088'})"
"frozenset({'Q86V59', 'AndrogenReceptor', 'Q9Y6K9'})"
"frozenset({'Q13422', 'AndrogenReceptor', 'P43405'})"
"frozenset({'Q8NHR9', 'AndrogenReceptor', 'Q07890'})"
"frozenset({'Q6A163', 'AndrogenReceptor', 'P61968'})"
"frozenset({'Q9UBU9', 'AndrogenReceptor', 'Q9UBN7'})"
"frozenset({'AndrogenReceptor', 'O00329', 'P04629'})"
"frozenset({'P26012', 'Q15382', 'AndrogenReceptor'})"
"frozenset({'P61962', 'AndrogenReceptor', 'Q9Y2I6'})"
"frozenset({'P31749', 'AndrogenReceptor', 'Q13451'})"
"frozenset({'Q8N4C6', 'AndrogenReceptor', 'Q9Y2D8'})"
"frozenset({'P42224', 'Q8WXG1', 'AndrogenReceptor'})"
"frozenset({'Q8WX92', 'AndrogenReceptor', 'Q8NE71'})"
"frozenset({'P15313', 'P51809', 'AndrogenReceptor'})"
"frozenset({'Q9UHV7', 'Q9ULK4', 'AndrogenReceptor'})"
"frozenset({'P08620', 'P29317', 'AndrogenReceptor'})"
"frozenset({'Q9H1B4', 'P50990', 'AndrogenReceptor'})"
"frozenset({'O95714', 'P60953', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8WZ42', 'P21796'})"
"frozenset({'P02649', 'AndrogenReceptor', 'P04180'})"
"frozenset({'P61247', 'AndrogenReceptor', 'P62899'})"
"frozenset({'O43237', 'P63167', 'AndrogenReceptor'})"
"frozenset({'P17252', 'AndrogenReceptor', 'P02545'})"
"frozenset({'P07910', 'O75643', 'AndrogenReceptor'})"
"frozenset({'P24385', 'P55273', 'AndrogenReceptor'})"
"frozenset({'O60308', 'Q9Y5B8', 'AndrogenReceptor'})"
"frozenset({'P01133', 'AndrogenReceptor', 'Q9UBN7'})"
"frozenset({'P18124', 'Q9BYG3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P19838', 'P29460'})"
"frozenset({'Q9Y3C7', 'AndrogenReceptor', 'Q08117'})"
"frozenset({'P19838', 'AndrogenReceptor', 'Q15365'})"
"frozenset({'Q9BSJ2', 'AndrogenReceptor', 'P04632'})"
"frozenset({'Q15843', 'Q9HCE7', 'AndrogenReceptor'})"
"frozenset({'Q92481', 'Q8N653', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P78316', 'P35226'})"
"frozenset({'AndrogenReceptor', 'Q9H981', 'P04745'})"
"frozenset({'P04406', 'AndrogenReceptor', 'P62807'})"
"frozenset({'P51460', 'Q7Z6M4', 'AndrogenReceptor'})"
"frozenset({'Q14469', 'AndrogenReceptor', 'P17676'})"
"frozenset({'Q99942', 'AndrogenReceptor', 'Q96LR5'})"
"frozenset({'Q13200', 'AndrogenReceptor', 'P30443'})"
"frozenset({'Q92764', 'AndrogenReceptor', 'P32242'})"
"frozenset({'Q92918', 'Q9BXL7', 'AndrogenReceptor'})"
"frozenset({'O60307', 'AndrogenReceptor', 'O43852'})"
"frozenset({'Q7Z4N8', 'P43356', 'AndrogenReceptor'})"
"frozenset({'O95758', 'Q9BR77', 'AndrogenReceptor'})"
"frozenset({'P62136', 'Q9BQI3', 'AndrogenReceptor'})"
"frozenset({'P35626', 'AndrogenReceptor', 'Q8NH61'})"
"frozenset({'AndrogenReceptor', 'O75586', 'Q96KQ7'})"
"frozenset({'O60783', 'AndrogenReceptor', 'Q9Y399'})"
"frozenset({'P19388', 'P29590', 'AndrogenReceptor'})"
"frozenset({'O00237', 'P51668', 'AndrogenReceptor'})"
"frozenset({'O75489', 'Q13418', 'AndrogenReceptor'})"
"frozenset({'Q92993', 'AndrogenReceptor', 'P16220'})"
"frozenset({'P63000', 'AndrogenReceptor', 'Q01968'})"
"frozenset({'P60033', 'AndrogenReceptor', 'Q9BUH6'})"
"frozenset({'P55036', 'AndrogenReceptor', 'P28065'})"
"frozenset({'AndrogenReceptor', 'P56856', 'P56748'})"
"frozenset({'Q9BQ90', 'AndrogenReceptor', 'Q15370'})"
"frozenset({'Q05639', 'AndrogenReceptor', 'Q16854'})"
"frozenset({'Q96IW7', 'Q92838', 'AndrogenReceptor'})"
"frozenset({'Q6PKG0', 'AndrogenReceptor', 'P62249'})"
"frozenset({'Q96Q77', 'AndrogenReceptor', 'P78424'})"
"frozenset({'AndrogenReceptor', 'Q07864', 'Q8NBA8'})"
"frozenset({'AndrogenReceptor', 'Q6STE5', 'Q9P2I0'})"
"frozenset({'Q8IWL3', 'P42765', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96EQ0', 'Q9HBU6'})"
"frozenset({'AndrogenReceptor', 'P33981', 'Q5S007'})"
"frozenset({'Q69YN4', 'AndrogenReceptor', 'Q99598'})"
"frozenset({'Q8N6D5', 'AndrogenReceptor', 'P35612'})"
"frozenset({'Q13619', 'P35908', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NWS0', 'Q58WW2'})"
"frozenset({'AndrogenReceptor', 'P50991', 'Q9H5I1'})"
"frozenset({'Q6RFH5', 'Q14137', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q5VTQ0', 'Q4J6C6'})"
"frozenset({'O43597', 'AndrogenReceptor', 'P60331'})"
"frozenset({'P62877', 'AndrogenReceptor', 'P78395'})"
"frozenset({'Q6VAB6', 'Q15185', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P82650', 'Q92665'})"
"frozenset({'P30050', 'AndrogenReceptor', 'Q02543'})"
"frozenset({'P36406', 'AndrogenReceptor', 'O00459'})"
"frozenset({'AndrogenReceptor', 'P32969', 'P62249'})"
"frozenset({'AndrogenReceptor', 'Q13526', 'P21281'})"
"frozenset({'Q96BY2', 'O95835', 'AndrogenReceptor'})"
"frozenset({'Q9UQ80', 'AndrogenReceptor', 'Q08211'})"
"frozenset({'AndrogenReceptor', 'P85037', 'Q16539'})"
"frozenset({'P09681', 'AndrogenReceptor', 'Q96EQ0'})"
"frozenset({'P05412', 'AndrogenReceptor', 'Q9UKV0'})"
"frozenset({'Q7L0Q8', 'AndrogenReceptor', 'P43405'})"
"frozenset({'Q8N4P2', 'Q9Y283', 'AndrogenReceptor'})"
"frozenset({'P32242', 'Q9Y3S2', 'AndrogenReceptor'})"
"frozenset({'Q6A162', 'AndrogenReceptor', 'Q8WTP8'})"
"frozenset({'P54317', 'AndrogenReceptor', 'Q6ICL3'})"
"frozenset({'P00533', 'AndrogenReceptor', 'Q13144'})"
"frozenset({'Q9P2M7', 'AndrogenReceptor', 'Q9BZF3'})"
"frozenset({'P56880', 'Q96AP7', 'AndrogenReceptor'})"
"frozenset({'Q8NHW4', 'P61073', 'AndrogenReceptor'})"
"frozenset({'Q5T3F8', 'Q9H444', 'AndrogenReceptor'})"
"frozenset({'Q13838', 'P12830', 'AndrogenReceptor'})"
"frozenset({'P25103', 'AndrogenReceptor', 'P34947'})"
"frozenset({'Q8WXA3', 'AndrogenReceptor', 'Q15393'})"
"frozenset({'AndrogenReceptor', 'Q9H4L4', 'P62269'})"
"frozenset({'Q9UBN1', 'P62714', 'AndrogenReceptor'})"
